eventname	eventdate	ordernum	contentabst	contact	presenter	jobid	postdate
Future Lawyering Conference	2016-07-03	3	The benefits of affirmation.	34791	374576	92114	2015-10-07
Future Lawyering Conference	2016-07-03	4	Cardiovascular exercises that really work.	12752	454306	92134	2015-11-07
Future Lawyering Conference	2016-07-03	5	Asthma solutions and natural remedies.	2660597	374578	92098	2015-10-07
Future Lawyering Conference	2017-06-28	1	Opening Speech	560386	295	92111	2015-03-20
Future Lawyering Conference	2017-06-28	2	Tracing The Future Of Space Science And Exploration	38743	374586	92120	2017-04-24
Future Lawyering Conference	2017-06-28	3	The importance of sleep.	1309848	374576	92114	2015-10-07
Future Lawyering Conference	2017-06-28	4	The difference between hardware and software.	12537	454306	92134	2015-11-07
Future Lawyering Conference	2017-06-28	5	The mental effort that intelligent writing necessitates.	2795902	374578	92117	2015-10-07
Future Lawyering Conference	2017-06-28	6	What Causes Families to Separate Nowadays?	3392231	374588	92128	2017-05-07
Future Lawyering Conference	2017-06-28	7	Travel tips for a healthy vacation.	12538	374576	92114	2015-10-07
Future Lawyering Conference	2017-06-28	8	Facts and figures of littering in our community	25434	374588	92128	2017-05-07
Future Lawyering Conference	2018-04-04	1	Opening Speech	2682373	2649564	92120	2017-09-22
Future Lawyering Conference	2018-04-04	2	What Do You Need To Do When Buying A New House?	26028	295	92111	2015-03-20
Future Lawyering Conference	2018-04-04	3	Why Should Farmers Use Organic Fertilizers?	3097969	308	92122	2017-04-24
Future of Law Conference	2016-02-26	1	Opening Speech	534407	120336	92120	2015-06-08
Future of Law Conference	2016-02-26	2	The negative effects of cellphones.	1309859	374578	92098	2015-10-07
Future of Law Conference	2016-02-26	3	How to handle dissatisfied customers in a nice and polite way.	3133454	120336	92120	2015-06-08
Future of Law Conference	2016-02-26	4	Corporate loans and special grants for women start-ups. Yes, there happen to be lots of initiatives especially for female entrepreneurs. To start up an own company.	3426380	374578	92117	2015-10-07
Future of Law Conference	2016-02-26	5	The discovery of the famous temples in the Maya culture.	320467	295	92111	2015-03-20
Future of Law Conference	2016-02-26	6	Robots now and in the future.	12427	120336	92120	2015-06-08
Future of Law Conference	2017-12-11	1	Opening Speech	457821	2649564	92120	2017-09-22
Future of Law Conference	2017-12-11	2	Robots now and in the future.	3775990	454306	92134	2015-11-07
Future of Law Conference	2018-03-01	1	Opening Speech	12644	295	92111	2015-03-20
Future of Manufacturing Summit	2016-01-10	1	Opening Speech	25735	120336	92120	2015-06-08
Future of Manufacturing Summit	2016-01-10	2	How To Excel In Co-Curricular Activities While In College	25743	454306	92134	2015-11-07
Future of Manufacturing Summit	2016-01-10	3	Strategies for healthy eating.	2834794	374588	92172	2015-10-07
Future of Manufacturing Summit	2017-01-16	1	Opening Speech	1322848	374588	92124	2016-08-07
Future of Manufacturing Summit	2017-01-16	2	Why travel is beneficial to education.	3485302	374586	92122	2016-08-15
Future of Manufacturing Summit	2017-01-16	3	The rising cost of education.	3426803	120336	92120	2015-06-08
Future of Manufacturing Summit	2017-01-16	4	How to manage mental illness.	1309859	120336	92120	2015-06-08
Future of Manufacturing Summit	2017-01-16	5	How to stop the obesity epidemic.	25938	120336	92120	2015-06-08
Future of Manufacturing Summit	2018-07-07	1	Opening Speech	12595	3404254	92120	2018-05-07
Future of Manufacturing Summit	2018-07-07	2	The Effects Of Demand And Price Of Various Agricultural Products	2682307	3404254	92120	2018-05-07
Future of Manufacturing Summit	2018-07-07	3	The importance of mathematics.	34762	3404254	92120	2018-05-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2016-08-01	1	Opening Speech	12697	374576	92114	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2016-08-01	2	Moving out of the dorm to an apartment off campus.	38730	374578	92098	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2016-08-01	3	High-risk pregnancy complications.	25521	454306	92134	2015-11-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2016-08-01	4	Ways to prepare for the types of physical tests, e.g. the Bruce, Beep.	25812	295	92111	2015-03-20
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2017-03-30	1	Opening Speech	3227556	120336	92120	2015-06-08
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2017-03-30	2	The history of genetically mutated animals.	2660571	120336	92120	2015-06-08
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2017-03-30	3	Exercise combats health problems.	2499645	295	92111	2015-03-20
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	1	Opening Speech	25799	374576	92114	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	2	How to bring back the passion for education.	12650	308	92122	2017-04-24
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	3	How air pressure works.	12667	308	92122	2017-04-24
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	4	Sometimes it is okay to lie.	560386	374578	92117	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	5	How Charles Darwin changed the world.	479859	374576	92114	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	6	How we should respond to chemical and biological threats of violence.	3520175	374576	92114	2015-10-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	7	Happiness: The thing we all look for but never really understand.	12524	374588	92128	2017-05-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	8	How to manage your anger.	12479	295	92111	2015-03-20
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	9	How visual, auditory, and kinesthetic learners are different.	34774	295	92111	2015-03-20
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	10	The benefits of personality development camps for students.	400386	454306	92134	2015-11-07
Graduation Ceremony for NUS Graduate Certificate in Criminal Justice Course	2018-01-13	11	Wildlife protection programs.	155192	2649564	92120	2017-09-22
Home Team Academy Workplan Seminar	2015-04-20	1	Opening Speech	12677	300	92098	2015-03-20
Home Team Academy Workplan Seminar	2015-04-20	2	What Should You Consider While Arranging An Ad Campaign?	25482	310	92172	2015-03-20
Home Team Academy Workplan Seminar	2015-04-20	3	Comfortable workout clothing and activewear for women.	25858	306	92179	2015-03-20
Home Team Academy Workplan Seminar	2015-04-20	4	How chocolate is made.	12759	306	92179	2015-03-20
Home Team Academy Workplan Seminar	2015-04-20	5	How Would The Economy Change If Everyone Decided To Produce His Or Her Food?	12477	310	92172	2015-03-20
Home Team Academy Workplan Seminar	2016-02-02	1	Opening Speech	34752	295	92111	2015-03-20
Home Team Academy Workplan Seminar	2016-02-02	2	Why classes in school should be 45 minutes long.	1322503	308	92170	2015-03-20
Home Team Academy Workplan Seminar	2016-02-02	3	A cheetah's hunting skills.	12760	374578	92117	2015-10-07
Home Team Academy Workplan Seminar	2017-06-26	1	Opening Speech	25575	374586	92120	2017-04-24
Home Team Academy Workplan Seminar	2017-06-26	2	The intelligence of dolphins.	26040	374578	92117	2015-10-07
Home Team Academy Workplan Seminar	2017-06-26	3	The reason we don't grow hair on our toenails.	12626	374586	92120	2017-04-24
International Conference of Legal Regulators	2016-06-09	1	Opening Speech	2903294	374578	92098	2015-10-07
International Conference of Legal Regulators	2016-06-09	2	What is spinning?	3508678	374578	92117	2015-10-07
International Conference of Legal Regulators	2016-06-09	3	Why do people apply to life extension nutrition-there is no life elixir or cocktail?	132842	374578	92117	2015-10-07
International Conference of Legal Regulators	2017-10-13	1	Opening Speech	12436	295	92111	2015-03-20
International Conference of Legal Regulators	2017-10-13	2	Step by step starting and managing a small business.	325	2649564	92120	2017-09-22
International Conference of Legal Regulators	2017-10-13	3	Methods to protect data and information against intruders.	38730	2649564	92120	2017-09-22
International Conference of Legal Regulators	2017-10-13	4	The history of Psychology.	3671526	374576	92114	2015-10-07
International Conference of Legal Regulators	2018-07-12	1	Opening Speech	25994	3404254	92120	2018-05-07
International Conference of Legal Regulators	2018-07-12	2	The benefits of tea.	1332178	374576	92114	2015-10-07
International Family Law Conference	2016-01-02	1	Opening Speech	25558	374588	92172	2015-10-07
International Family Law Conference	2016-01-02	2	What is narcissistic personality disorder?	25938	374588	92172	2015-10-07
International Family Law Conference	2016-01-02	3	What's The Role Of Increased Censorship When It Comes To Advertising	2509557	295	92111	2015-03-20
International Family Law Conference	2016-01-02	4	To grab people's attention on stage, keep a close eye on their attitude and social backgrounds.	3133524	374576	92114	2015-10-07
International Family Law Conference	2016-01-02	5	The reason we don't grow hair on our toenails.	1898496	374586	92175	2015-10-07
International Family Law Conference	2017-01-04	1	Opening Speech	2583110	295	92111	2015-03-20
International Family Law Conference	2017-01-04	2	How chocolate is made.	25884	374578	92098	2015-10-07
International Family Law Conference	2017-01-04	3	Store fixtures (offer ten solid examples and their benefits) like displays, goodie racks, inventive approaches, etc:	3544243	454306	92134	2015-11-07
International Family Law Conference	2017-01-04	4	How to avoid toxic chemicals in food.	12440	295	92111	2015-03-20
International Family Law Conference	2017-01-04	5	Work place violence.	25872	454306	92134	2015-11-07
International Family Law Conference	2017-01-04	6	The importance of financial education.	34815	454306	92134	2015-11-07
International Family Law Conference	2017-01-04	7	Ergonomics in the workspace-chairs, tables and desks, physical poses that are good for people who sit all day.	2673069	454306	92134	2015-11-07
International Family Law Conference	2018-04-02	1	Opening Speech	65350	295	92111	2015-03-20
International Family Law Conference	2018-04-02	2	Non-profit organizations that help families.	667655	454306	92134	2015-11-07
International Family Law Conference	2018-04-02	3	Unique Selling Proposition and Unique Point or positioning statement.	2124671	374578	92117	2015-10-07
International Family Law Conference	2018-04-02	4	Examples of corporate crime.	2818601	374578	92098	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	1	Opening Speech	78564	374578	92098	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	2	Computers benefit students in school.	667654	374578	92098	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	3	How to get a student job on campus.	2977326	374578	92098	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	4	The rising cost of education.	25998	374588	92124	2016-08-07
International Trading Professional Conversion Programme Graduation Ceremony	2016-10-18	5	The influence exerted by motivators on work efficiency	2873381	120336	92120	2015-06-08
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	1	Opening Speech	12492	2649564	92120	2017-09-22
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	2	How to prevent teen pregnancy.	1898496	374588	92128	2017-05-07
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	3	How smoking is harmful to your health.	25909	374578	92117	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	4	Does affirmative action work.	2682346	374578	92117	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2017-12-25	5	How to cure and prevent hangovers.	3001087	2649564	92120	2017-09-22
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	1	Opening Speech	2818621	454306	92134	2015-11-07
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	2	How to manage mental illness.	3192332	454306	92134	2015-11-07
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	3	Best Marketing Tips For A Shoe Company	38732	374576	92114	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	4	The importance of higher education.	25876	374578	92117	2015-10-07
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	5	The benefits of magnesium.	12447	3404254	92120	2018-05-07
International Trading Professional Conversion Programme Graduation Ceremony	2018-08-30	6	The trauma of shooting incidents last a lifetime.	3421	3404254	92120	2018-05-07
ITE Graduation Ceremony 	2015-08-23	1	Opening Speech	34803	300	92117	2015-03-20
ITE Graduation Ceremony 	2015-08-23	2	Good governance ethics and social responsibility. And what has accountability to do with it? Open the window to the outside consumer world of stay inside with closed curtains?	25742	298	92114	2015-03-20
ITE Graduation Ceremony 	2015-08-23	3	How to ace the GRE.	2924906	298	92114	2015-03-20
ITE Graduation Ceremony 	2015-08-23	4	The advantages of business asset organization	12418	304	92177	2015-03-20
ITE Graduation Ceremony 	2015-08-23	5	The influence exerted by instruction as well as evolution on work efficiency	78566	304	92177	2015-03-20
ITE Graduation Ceremony 	2015-08-23	6	How LGBT youth are protected.	2673029	310	92172	2015-03-20
ITE Graduation Ceremony 	2015-08-23	7	How Can We Continue Benefiting From The World Wide Web	25607	306	92179	2015-03-20
ITE Graduation Ceremony 	2016-06-18	1	Opening Speech	307811	454306	92134	2015-11-07
ITE Graduation Ceremony 	2016-06-18	2	The influence exerted by motivators on work efficiency	3819140	374578	92117	2015-10-07
ITE Graduation Ceremony 	2016-06-18	3	Dangers Of Nicotine In The Body	12471	374578	92117	2015-10-07
ITE Graduation Ceremony 	2016-06-18	4	Dangers Of Nicotine In The Body	3497363	374588	92132	2016-06-13
ITE Graduation Ceremony 	2017-12-18	1	Opening Speech	2682339	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	2	How drinking too much can affect your health.	3819196	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	3	How to have a healthy pregnancy.	25432	374578	92117	2015-10-07
ITE Graduation Ceremony 	2017-12-18	4	The best way to spend your senior year.	12765	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	5	The advantages of multilevel marketing	802161	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	6	Why college students should be careful about what they put on social media.	12715	308	92122	2017-04-24
ITE Graduation Ceremony 	2017-12-18	7	Creating A Simple Business Plan	25521	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	8	How To Look For The Most Suitable Jobs In Your Field	3392195	2649564	92120	2017-09-22
ITE Graduation Ceremony 	2017-12-18	9	Why public speaking is the number one phobia on the planet.	25677	374588	92128	2017-05-07
KPMG Procurement Ignite Summit 	2015-09-30	1	Opening Speech	3819196	308	92170	2015-03-20
KPMG Procurement Ignite Summit 	2015-09-30	2	Growth Of The Foster Care System In The Country	1983706	120336	92120	2015-06-08
KPMG Procurement Ignite Summit 	2015-09-30	3	The importance of financial education.	3470428	295	92111	2015-03-20
KPMG Procurement Ignite Summit 	2015-09-30	4	Three ways to attract customer attention.	3764085	295	92111	2015-03-20
KPMG Procurement Ignite Summit 	2015-09-30	5	Simple Methods Of Managing Your Limited Student Budget	12712	308	92170	2015-03-20
KPMG Procurement Ignite Summit 	2015-09-30	6	How the Earth was formed.	2673030	295	92111	2015-03-20
KPMG Procurement Ignite Summit 	2015-09-30	7	The important 18th century Swiss chemists.	25923	120336	92120	2015-06-08
KPMG Procurement Ignite Summit 	2016-04-13	1	Opening Speech	3671589	374578	92098	2015-10-07
KPMG Procurement Ignite Summit 	2016-04-13	2	The uses for artificial intelligence computer networks.	3365347	374578	92098	2015-10-07
KPMG Procurement Ignite Summit 	2016-04-13	3	Becoming a millionaire will not make you happy.	25661	295	92111	2015-03-20
KPMG Procurement Ignite Summit 	2016-04-13	4	How to unleash your inner geek.	1309904	120336	92120	2015-06-08
KPMG Procurement Ignite Summit 	2016-04-13	5	Importance Of Using Academic Writing Services	748578	374578	92098	2015-10-07
KPMG Procurement Ignite Summit 	2017-02-15	1	Opening Speech	12604	295	92111	2015-03-20
KPMG Procurement Ignite Summit 	2017-02-15	2	Praise in public and criticize or punish in private.	2808416	295	92111	2015-03-20
Law Awareness Weeks	2016-02-10	1	Opening Speech	34727	374578	92098	2015-10-07
Law Awareness Weeks	2016-02-10	2	The craziest scientists in history.	12590	374586	92175	2015-10-07
Law Awareness Weeks	2017-10-05	1	Opening Speech	2369557	295	92111	2015-03-20
Law Awareness Weeks	2017-10-05	2	The danger of putting too much personal information on social networks.	2447945	2649564	92120	2017-09-22
Law Awareness Weeks	2017-10-05	3	Overcoming your fear of public speaking.	25519	454306	92134	2015-11-07
Law Awareness Weeks	2017-10-05	4	Methods Of Determining The Most Effective And Appropriate Marketing Strategy	3027520	374578	92098	2015-10-07
Law Awareness Weeks	2017-10-05	5	The importance of anxiety and depression awareness.	2808411	2649564	92120	2017-09-22
Law Awareness Weeks	2018-07-06	1	Opening Speech	331	374578	92117	2015-10-07
Law Awareness Weeks	2018-07-06	2	How watches work.	34817	374578	92117	2015-10-07
Law Awareness Weeks	2018-07-06	3	Reducing Domestic Violence Today	25883	3404254	92120	2018-05-07
Law Awareness Weeks	2018-07-06	4	What's The Future Of Artificial Intelligence	748556	374578	92117	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2016-12-14	1	Opening Speech	25444	295	92111	2015-03-20
Law Society Neutral Evaluation & Determination Forum	2016-12-14	2	How to break bad habits.	3683097	120336	92120	2015-06-08
Law Society Neutral Evaluation & Determination Forum	2016-12-14	3	The effects of studying while listening to music.	146190	374578	92117	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2017-12-01	1	Opening Speech	313	374578	92098	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2017-12-01	2	The Essence Of Having An Analytical Section In Any Business Essay	3039830	374578	92098	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2017-12-01	3	Happiness: The thing we all look for but never really understand.	12558	374578	92117	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2018-05-09	1	Opening Speech	25924	374578	92098	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2018-05-09	2	Ways to improve short and long term career plans	2818619	295	92111	2015-03-20
Law Society Neutral Evaluation & Determination Forum	2018-05-09	3	Tracing The Future Of Space Science And Exploration	2721379	454306	92134	2015-11-07
Law Society Neutral Evaluation & Determination Forum	2018-05-09	4	Domestic water waste treatment plans.	3027576	374578	92098	2015-10-07
Law Society Neutral Evaluation & Determination Forum	2018-05-09	5	Stretching exercises at the start of your day prevent injuries.	38753	3404254	92120	2018-05-07
Law Society Neutral Evaluation & Determination Forum	2018-05-09	6	Interesting Things You Didn't Know About The Human Brain	25462	295	92111	2015-03-20
Law Society Neutral Evaluation & Determination Forum	2018-05-09	7	The effects of caffeine on the body.	12645	295	92111	2015-03-20
Legal & Accounting Connect Conference	2016-08-12	1	Opening Speech	12432	120336	92120	2015-06-08
Legal & Accounting Connect Conference	2016-08-12	2	The responsibility of parents and students regarding education.	2834770	120336	92120	2015-06-08
Legal & Accounting Connect Conference	2017-01-19	1	Opening Speech	25446	374588	92124	2016-08-07
Legal & Accounting Connect Conference	2017-01-19	2	The benefits of wind tunnels on transport.	34788	120336	92120	2015-06-08
Legal & Accounting Connect Conference	2017-01-19	3	How to spot a diploma mill.	34860	120336	92120	2015-06-08
Legal & Accounting Connect Conference	2018-08-17	1	Opening Speech	3589855	295	92111	2015-03-20
Legal & Accounting Connect Conference	2018-08-17	2	The Burj Khalifa skyscraper in Dubai-the smart innovative energy reuser.	12596	3404254	92120	2018-05-07
Legal Aid Bureau's Anniversary Dinner	2016-12-26	1	Opening Speech	3392188	295	92111	2015-03-20
Legal Aid Bureau's Anniversary Dinner	2016-12-26	2	The history of aboriginals in Australia.	12686	295	92111	2015-03-20
Legal Aid Bureau's Anniversary Dinner	2016-12-26	3	How to break bad habits.	1309904	120336	92120	2015-06-08
Legal Aid Bureau's Anniversary Dinner	2016-12-26	4	How school does not prepare you for the real world.	25709	374588	92124	2016-08-07
Legal Aid Bureau's Anniversary Dinner	2016-12-26	5	How to get a great internship.	25528	374586	92122	2016-08-15
Legal Aid Bureau's Anniversary Dinner	2017-12-22	1	Opening Speech	1898496	295	92111	2015-03-20
Legal Aid Bureau's Anniversary Dinner	2017-12-22	2	How to deal with grant-making foundations and grant writing.	34830	374578	92117	2015-10-07
Legal Aid Bureau's Anniversary Dinner	2017-12-22	3	Why travel is beneficial to education.	2382481	374576	92114	2015-10-07
Legal Aid Bureau's Anniversary Dinner	2017-12-22	4	Plastic surgery is bad for your skin.	12544	308	92122	2017-04-24
Legal Aid Bureau's Anniversary Dinner	2018-02-09	1	Opening Speech	25702	2649564	92120	2017-09-22
Legal Aid Bureau's Anniversary Dinner	2018-02-09	2	The importance of providing shelter to homeless veterans.	3051311	2649564	92120	2017-09-22
Legal Aid Bureau's Anniversary Dinner	2018-02-09	3	Why public speaking is the number one phobia on the planet.	26065	374576	92114	2015-10-07
Legal Aid Bureau's Anniversary Dinner	2018-02-09	4	The benefits of walking without shoes.	3439	374578	92098	2015-10-07
Legal Aid Bureau's Anniversary Dinner	2018-02-09	5	Should You Include An Advertising Topic In Your Company's Primary Activity?	2682296	308	92122	2017-04-24
MCCY Stakeholder Appreciation Dinner	2016-02-06	1	Opening Speech	25448	374578	92098	2015-10-07
MCCY Stakeholder Appreciation Dinner	2016-02-06	2	The losing battle with alcohol abuse.	1898596	295	92111	2015-03-20
MCCY Stakeholder Appreciation Dinner	2017-06-13	1	Opening Speech	1877452	295	92111	2015-03-20
MCCY Stakeholder Appreciation Dinner	2017-06-13	2	Autism and its effects.	2214290	374578	92117	2015-10-07
MCCY Stakeholder Appreciation Dinner	2017-06-13	3	The Alice in Wonderland syndrome.	12459	295	92111	2015-03-20
MCCY Stakeholder Appreciation Dinner	2017-06-13	4	The importance of asking yourself why you stand for something.	2818623	374578	92098	2015-10-07
MCCY Stakeholder Appreciation Dinner	2017-06-13	5	It would help ESL students to take state tests in their native language.	78598	374588	92128	2017-05-07
MCCY Stakeholder Appreciation Dinner	2018-06-05	1	Opening Speech	74589	374578	92098	2015-10-07
MCCY Stakeholder Appreciation Dinner	2018-06-05	2	The danger of putting too much personal information on social networks.	3639	454306	92134	2015-11-07
MCCY Stakeholder Appreciation Dinner	2018-06-05	3	Aspects of life the past that we want to keep, appreciate and enjoy and to pass on to our children.	34789	374578	92117	2015-10-07
MCCY Stakeholder Appreciation Dinner	2018-06-05	4	How to overcome conflict.	2439052	3404254	92120	2018-05-07
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	1	Opening Speech	2236571	300	92098	2015-03-20
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	2	The negative effects of the privatization of higher education.	25620	300	92098	2015-03-20
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	3	The effects of caffeine on the body.	25435	120338	92181	2015-06-08
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	4	What is spinning?	25574	304	92177	2015-03-20
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	5	Stress management-reduce, prevent and cope with stress.	34835	304	92177	2015-03-20
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	6	The history of global crime.	25666	300	92098	2015-03-20
MHA Scholarship and Sponsorship Presentation Ceremony	2015-07-23	7	Becoming a millionaire will not make you happy.	3133348	120336	92120	2015-06-08
MHA Scholarship and Sponsorship Presentation Ceremony	2016-08-09	1	Opening Speech	2808407	374588	92124	2016-08-07
MHA Scholarship and Sponsorship Presentation Ceremony	2016-08-09	2	The most interesting world records.	1309874	374578	92098	2015-10-07
MHA Scholarship and Sponsorship Presentation Ceremony	2016-08-09	3	Quality control and tracking if everything went well as you planned it should be.	12623	308	92122	2016-06-13
MHA Scholarship and Sponsorship Presentation Ceremony	2016-08-09	4	The cultivation of individual authority within a company	12603	374588	92124	2016-08-07
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	1	Opening Speech	1309949	374586	92120	2017-04-24
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	2	The state of the rich and the poor.	38759	374586	92120	2017-04-24
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	3	Overcoming your fear of public speaking.	12683	374588	92128	2017-05-07
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	4	How to bring back the passion for education.	842883	374586	92120	2017-04-24
MHA Scholarship and Sponsorship Presentation Ceremony	2017-05-08	5	Everyone is afraid to speak in public.	25581	374586	92120	2017-04-24
Minister's Awards Presentation Ceremony	2015-11-22	1	Opening Speech	25669	374578	92098	2015-10-07
Minister's Awards Presentation Ceremony	2015-11-22	2	The health benefits of friendship.	12644	120336	92120	2015-06-08
Minister's Awards Presentation Ceremony	2015-11-22	3	Your body language reveals your deepest secrets.	78586	374586	92175	2015-10-07
Minister's Awards Presentation Ceremony	2015-11-22	4	How to avoid procrastination.	25728	120336	92120	2015-06-08
Minister's Awards Presentation Ceremony	2016-11-06	1	Opening Speech	3694	374578	92117	2015-10-07
Minister's Awards Presentation Ceremony	2016-11-06	2	Work place violence.	26006	120336	92120	2015-06-08
Minister's Awards Presentation Ceremony	2017-04-13	1	Opening Speech	173883	374576	92114	2015-10-07
Minister's Awards Presentation Ceremony	2017-04-13	2	The uses for artificial intelligence computer networks.	12596	295	92111	2015-03-20
Minister's Awards Presentation Ceremony	2017-04-13	3	The mental effort that intelligent writing necessitates.	1322880	374578	92098	2015-10-07
Minister's Awards Presentation Ceremony	2017-04-13	4	What is love and what's not.	25636	374578	92098	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2015-11-03	1	Opening Speech	25891	295	92111	2015-03-20
Ministry of Home Affairs National Day Observance Ceremony 	2015-11-03	2	How To Cure Depression And Anxiety	870387	295	92111	2015-03-20
Ministry of Home Affairs National Day Observance Ceremony 	2015-11-03	3	Step by step starting and managing a small business.	2808437	374588	92172	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2016-01-05	1	Opening Speech	25716	308	92170	2015-03-20
Ministry of Home Affairs National Day Observance Ceremony 	2016-01-05	2	Simple Techniques Of Avoiding Marketing Errors	3589739	374576	92114	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2016-01-05	3	How school does not prepare you for the real world.	78564	374578	92098	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2016-01-05	4	A cheetah's hunting skills.	38756	374578	92117	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	1	Opening Speech	3365254	374586	92120	2017-04-24
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	2	Education is the best weapon against poverty.	307811	374586	92120	2017-04-24
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	3	Simple Techniques Of Avoiding Marketing Errors	52138	454306	92134	2015-11-07
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	4	Availability Of Resources And Distribution Of Wealth	25657	374586	92120	2017-04-24
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	5	Designating a personal trainer helps you to keep on coming to the athletic club.	735838	374578	92098	2015-10-07
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	6	Single Parenting And How It Affects College Students	347486	374586	92120	2017-04-24
Ministry of Home Affairs National Day Observance Ceremony 	2017-09-21	7	A Scientific And Ethical Perspective On The Developments Of Human Cloning	38741	295	92111	2015-03-20
Model United Nations Conference	2015-08-04	1	Opening Speech	1322605	308	92170	2015-03-20
Model United Nations Conference	2015-08-04	2	The latest discoveries in astronomy.	12730	306	92179	2015-03-20
Model United Nations Conference	2015-08-04	3	Teachers should be paid more money.	12420	310	92172	2015-03-20
Model United Nations Conference	2015-08-04	4	Simple Ways For New University Students To Earn Some Cash	2556465	295	92111	2015-03-20
Model United Nations Conference	2015-08-04	5	Sigmund Freud Theory.	3497332	308	92170	2015-03-20
Model United Nations Conference	2015-08-04	6	Ways to improve short and long term career plans	25834	306	92179	2015-03-20
Model United Nations Conference	2016-06-17	1	Opening Speech	3392183	308	92122	2016-06-13
Model United Nations Conference	2016-06-17	2	The mental effort that intelligent writing necessitates.	25753	120336	92120	2015-06-08
Model United Nations Conference	2016-06-17	3	The Wright Brother's first flight.	3659530	374578	92117	2015-10-07
Model United Nations Conference	2016-06-17	4	Defining A Computer Virus	3449	454306	92134	2015-11-07
Model United Nations Conference	2016-06-17	5	How to get rid of blubbering cellulite adipose tissue on your waist.	25956	120336	92120	2015-06-08
Model United Nations Conference	2017-02-17	1	Opening Speech	25780	374586	92122	2016-08-15
