jobid	jobtitle	phone	joblevel	deptid	reportto	jobtype
89724	Lead Solution Architect	92294453	7	89720	89721	NP
89725	Lead Consultant	92294619	7	89720	89721	NP
89726	IT Consultant	92294276	9	89720	89721	NP
89728	Chief HR Officer	63327806	10	89727	89259	NP
89729	Senior Assistant Director	92294246	8	89727	89728	NP
89730	Manager	98889212	7	89727	89728	NP
89731	Senior Executive	92294330	8	89727	89728	NP
89732	Personal Assistant to SD(CHROO&WD) cum Senior Assistant Executive	63327864	9	89727	89728	NP
89733	Personal Assistant cum Senior Assistant Executive	63327864	8	89727	89728	NP
89737	"Senior Director (Values & Culture, Service Delivery & Middle Managers)"	63324781	7	89736	89259	NP
89738	Senior Assistant Director	92294469	7	89736	89737	NP
89739	Assistant Director	92294495	8	89736	89737	NP
89740	Manager	92294491	7	89736	89737	NP
89741	Senior Executive	92294203	7	89736	89737	NP
89742	Senior Manager	92294200	7	89736	89737	NP
89743	Senior Executive	92294529	7	89736	89737	NP
89744	Deputy Director	92294527	10	89736	89737	NP
89745	Personal Assistant to SD(PO) & DS (Leadership) cum Senior Assistant Executive (PO)	63328701	9	89736	89737	NP
89746	Manager	98889212	7	89736	89737	NP
89747	Personal Assistant to SD(PO) & D(PO) cum Senior Assistant Executive (PO)	63328701	9	89736	89737	NP
89748	Director (Service Delivery & Middle Managers)	63327163	7	89736	89737	NP
89749	Personal Assistant to SD(PO) cum Senior Assistant Executive (PO)	63328701	7	89736	89737	NP
89751	Director	63328525	7	89750	89259	NP
89752	Personal Assistant to Director cum Assistant Executive	63327287	10	89750	89751	NP
89753	Assistant Director	92294495	9	89750	89751	NP
89754	Deputy Director	92294253	9	89750	89751	NP
89755	Manager	98889137	9	89750	89751	NP
89756	Senior Executive	98889715	8	89750	89751	NP
89757	Senior Manager	98889137	8	89750	89751	NP
89759	Director	63329000	7	89758	89259	NP
89760	Programme Lead	92294877	8	89758	89759	NP
89761	Personal Assistant to Director (Moments of Life - Families) cum Senior Assistant Executive	63328201	9	89758	89759	NP
89763	Director	63328678	7	89762	89259	NP
89764	Personal Assistant to D(SPR) and D(DWPO) & Second Director (HRMIS) cum Senior Assistant Analyst	63328697	7	89762	89763	NP
89765	Deputy Director	92294032	9	89762	89763	NP
89766	Senior Manager	92294364	7	89762	89763	NP
89767	Manager	92294246	7	89762	89763	NP
89768	Senior Lead Analyst	92294023	7	89762	89763	NP
89769	Lead Analyst	92294185	8	89762	89763	NP
89770	Senior Analyst	98889212	8	89762	89763	NP
89809	Senior Director (Transformation)	63328367	10	89771	89259	NP
89773	Principal Organisation Development Lead	92294293	7	89772	89809	NP
89774	Principal Organisation Development Lead	92294378	9	89772	89773	NP
89776	Deputy Director	92294074	8	89775	89809	NP
89777	Assistant Director	98889146	7	89775	89776	NP
89778	Manager	92294477	7	89775	89776	NP
89779	Senior Executive	98889220	7	89775	89776	NP
89780	Senior Assistant Executive	92294105	10	89775	89776	NP
89781	PA to SD(Transformation) and D(Transformation Office	68358340	9	89775	89776	NP
89782	PA to DS(Transformation) and Senior Principal OD Consultant cum Senior Assistant Executive	68358266	9	89775	89776	NP
89783	PA to SD(Transformation) and D(Transformation Office & D(Moments of Life - Families)	68358340	9	89775	89776	NP
89785	Senior Assistant Director	92294032	8	89784	89809	NP
89786	Senior Executive	92294364	7	89784	89785	NP
89787	Senior Assistant Executive	92294105	10	89784	89785	NP
89788	Manager	92294557	7	89784	89785	NP
89789	PA to SD(Transformation) and D(Transformation Office	68358340	9	89784	89785	NP
89790	Assistant Director	92294361	8	89784	89785	NP
89791	PA to DS(Transformation) and Senior Principal OD Consultant cum Senior Assistant Executive	68358299	8	89784	89785	NP
89792	PA to SD(Transformation) and D(Transformation Office & D(Moments of Life - Families)	68358340	7	89784	89785	NP
89793	Senior Manager	98889300	8	89784	89785	NP
89794	Design Lead	92294152	8	89784	89785	NP
89795	Deputy Director	98889122	9	89784	89809	NP
89796	Senior Assistant Director	92294022	8	89784	89795	NP
89797	Assistant Director	92294351	7	89784	89795	NP
89798	Senior Manager	98889314	8	89784	89795	NP
89799	Design Lead	92294152	9	89784	89795	NP
89800	Senior Executive	92294354	9	89784	89795	NP
89801	PA to DS(Transformation) and Senior Principal OD Consultant cum Senior Assistant Executive	68358289	9	89784	89795	NP
89802	Senior Assistant Executive	92294081	8	89784	89795	NP
89803	PA to SD(Transformation) and D(Transformation Office & D(Moments of Life - Families)	68358340	9	89784	89795	NP
89805	Principal Design Lead	92294135	9	89804	89809	NP
89806	Senior Design Executive	92294458	7	89804	89805	NP
89807	Design Lead	92294708	7	89804	89805	NP
89808	Senior Design Lead (Behavioural Sciences)	92294272	7	89804	89805	NP
89810	Deputy Director (Systems)	92294154	9	89771	89809	NP
89811	Director (Transformation Office)	98889062	8	89771	89809	NP
89812	Director (Innovation Lab)	63327460	8	89771	89809	NP
89813	Deputy Director (PST Strategy)	98889346	8	89771	89809	NP
89814	Personal Assistant to SD(Transformation) and D(Transformation Office	68358303	8	89771	89809	NP
89815	Personal Assistant to Director (Innovation Lab) cum Senior Assistant Executive	63328738	8	89771	89809	NP
89816	Personal Assistant to Senior Principal Organisational Development Consultant	68358262	9	89771	89809	NP
89817	Personal Assistant to SD(Transformation) and D(Transformation Office & Moments of Life - Families)	68358303	8	89771	89809	NP
89818	Director (Transformation Office & Moments of Life-Families)	63327460	9	89771	89809	NP
89819	Director (Transformation Office) - designate	98889095	7	89771	89809	NP
89820	Senior Principal Organisational Development Consultant	63327460	7	89771	89809	NP
89821	Director (PST & Systems Strategy)	63329037	9	89771	89809	NP
89840	Director	63327441	7	89822	89259	NP
89824	Assistant Director	92294429	8	89823	89840	NP
89825	Manager	92294264	8	89823	89824	NP
89826	Executive	98889357	10	89823	89824	NP
89827	Senior Assistant Executive	92294061	7	89823	89826	NP
89828	Assistant Director	92294060	8	89823	89824	NP
89829	Senior Executive	92294091	8	89823	89824	NP
89830	Senior Manager (Strategy Group HR) - designate	92294266	7	89823	89824	NP
89831	Senior Assistant Executive	92294061	7	89823	89824	NP
89832	Senior Manager	92294060	8	89823	89824	NP
89833	Senior Manager (Strategy Group HR)	92294250	9	89823	89824	NP
89834	Senior Assistant Executive cum Personal Assistant to Director	63327441	8	89823	89824	NP
89836	Assistant Director	92294238	8	89835	89840	NP
89837	Senior Executive	92294046	7	89835	89836	NP
89838	Manager	92294623	7	89835	89836	NP
89839	Assistant Director (Covering Officer)	92294231	7	89835	89836	NP
89841	Deputy Director	92294040	8	89822	89840	NP
89842	Personal Assistant to Director cum Senior Assistant Executive	63326877	7	89822	89840	NP
89843	Senior Assistant Executive cum Personal Assistant to Director	63327458	7	89822	89840	NP
89862	Chief Information Officer & Director	63328932	7	89844	89259	NP
89847	Senior IT Consultant	92294339	7	89846	89862	NP
89848	IT Consultant	92294287	7	89846	89847	NP
89849	Senior IT Consultant	92294272	7	89846	89847	NP
89871	Director	63327554	8	89844	89259	NP
89850	Head (Projects)	92294342	9	89846	89871	NP
89851	IT Consultant	92294296	7	89846	89850	NP
89852	Senior IT Consultant	92294339	7	89846	89850	NP
89854	IT Consultant	92294341	8	89853	89862	NP
89855	IT Consultant	92294322	7	89853	89854	NP
89859	Senior Assistant Executive	92294316	10	89858	89862	NP
89860	Assistant Executive	92294683	7	89858	89859	NP
89861	Senior Assistant Executive	92294306	9	89858	89859	NP
89863	Personal Assistant	63327582	8	89844	89862	NP
89864	Assistant Director (Application Services)	92294334	8	89844	89862	NP
89865	Assistant Director (Technical Services)	92294320	7	89844	89862	NP
89866	Chief Information Security Officer	98889141	10	89844	89862	NP
89867	Deputy Director	92294488	8	89844	89862	NP
89868	IT Consultant (Security)	92294330	8	89844	89862	NP
89869	Deputy Director & Deputy Chief Information Officer	92295091	9	89844	89862	NP
89870	Assistant Director	92294313	8	89844	89862	NP
89872	Personal Assistant	63327585	7	89844	89871	NP
89873	Deputy Director	92294479	7	89844	89871	NP
89874	Assistant Director (Application Services)	92294325	9	89844	89871	NP
89875	Assistant Director (Technical Services)	92294125	9	89844	89871	NP
89876	Chief Information Security Officer	98889056	9	89844	89871	NP
89877	IT Consultant (Security)	92294347	9	89844	89871	NP
89947	Director (Secretariat)	63324137	10	89878	89259	NP
89880	Senior Assistant Director(Talent Management)	92294389	10	89879	89947	NP
89881	Senior Executive(Talent Managment)	92294117	8	89879	89880	NP
89882	Senior Manager (Talent Management)	92294358	8	89879	89880	NP
89883	Assistant Director(Talent Management)	92294391	7	89879	89880	NP
89884	Senior Executive (Talent Management)	92294390	9	89879	89880	NP
89885	Executive(Talent Management)	92294133	9	89879	89880	NP
89886	Senior Assistant Executive(Talent Management)	92294392	8	89879	89885	NP
89887	Assistant Executive(Talent Management)	92294405	8	89879	89885	NP
89888	Senior Assistant Executive (Talent Management)	98889203	8	89879	89885	NP
89889	Senior Manager/Talent Management	92294456	8	89879	89880	NP
89890	Executive (Talent Management)	92294383	7	89879	89880	NP
89891	Manager (Talent Management)	92294153	9	89879	89880	NP
89892	Senior Manager (Talent Management	92294533	7	89879	89880	NP
89893	Senior Assistant Executive/Talent Management	98889166	7	89879	89880	NP
89894	Senior Assistant Executive (Talent Management	92294276	9	89879	89880	NP
89895	Manager/Talent Management	98889202	8	89879	89880	NP
89896	Senior Manager(Talent Management)	92294394	9	89879	89880	NP
89897	Manager(Talent Management)	92294456	8	89879	89880	NP
89898	Senior Executive(Talent Management)	98889134	7	89879	89880	NP
89899	Senior Assistant Executive	92294363	7	89879	89880	NP
89900	Assistant Executive	92294405	9	89879	89880	NP
89901	Assistant Director(Development and Programmes)	92294391	7	89879	89880	NP
89902	Assistant Director(Selection & Policy)	92294427	9	89879	89880	NP
89903	Senior Manager(Development and Programmes)	92294394	8	89879	89880	NP
89904	Senior Manager (Development and Programmes)	92294358	9	89879	89880	NP
89905	Manager (Selection & Policy)	92294153	8	89879	89880	NP
89906	Senior Executive (Selection & Policy)	92294395	7	89879	89880	NP
89907	Senior Executive (Development and Programmes)	92294428	7	89879	89880	NP
89908	Executive (Development and Programmes)	98889168	8	89879	89880	NP
89909	Senior Assistant Executive (Development and Programmes)	92294397	9	89879	89908	NP
89910	Manager (Strategic Relations & Capability Development)	92294381	9	89879	89880	NP
89911	Senior Assistant Executive (Strategic Relations & Capability Development)	92294333	9	89879	89880	NP
89912	Assistant Executive (Strategic Relations & Capability Development)	92294362	9	89879	89880	NP
89914	"Senior Assistant Director (Conduct,Discipline & Secretariat)"	92294371	7	89913	89947	NP
89915	"Secretariat Assistant (Conduct,Discipline & Secretariat)"	92294401	10	89913	89914	NP
89916	"Senior Executive(Conduct,Discipline & Secretariat)"	92291429	8	89913	89914	NP
89917	"Assistant Director Conduct,Discipline & Secretariat"	92294040	7	89913	89914	NP
89918	"Manager Conduct,Discipline & Secretariat"	92294419	9	89913	89914	NP
89919	"Senior Assistant Executive Conduct,Discipline & Secretariat"	92294437	8	89913	89914	NP
89920	"Senior Executive Conduct, Discipline & Secretariat"	92294285	7	89913	89914	NP
89921	"Assistant Executive Conduct,Discipline & Secretariat"	92294358	8	89913	89914	NP
89922	"Executive(Conduct, Discipline & Secretariat)"	92294277	9	89913	89914	NP
89923	"Senior Assistant Executive (Conduct,Discipline & Secretariat)"	92294276	7	89913	89922	NP
89924	"Assistant Executive (Conduct,Discipline & Secretariat)"	92294366	8	89913	89922	NP
89925	"Senior Assistant Executive(Conduct,Discipline & Secretariat)"	92294437	9	89913	89922	NP
89926	"Assistant Director(Conduct,Discipline & Secretariat)"	92294040	8	89913	89914	NP
89927	"Manager(Conduct,Discipline & Secretariat)"	92294419	7	89913	89914	NP
89928	"Executive(Conduct,Discipline & Secretariat)"	92294350	7	89913	89914	NP
89929	Senior Assistant Executive(Conduct & Discipline Policy)	92294437	8	89913	89914	NP
89930	Senior Executive (Secretariat)	92294360	9	89913	89914	NP
89931	Senior Assistant Executive (Secretariat)	92294284	8	89913	89914	NP
89932	Assistant Executive (Secretariat)	92294366	9	89913	89914	NP
89933	Secretariat Assistant(Secretariat)	92294366	9	89913	89914	NP
89934	Manager(Conduct & Discipline Policy)	92294085	9	89913	89914	NP
89949	"Chairman, PSC"	63323482	9	89878	89259	NP
89935	Deputy Director(Conduct)	92294006	7	89913	89949	NP
89936	Senior Assistant Director (Discipline & Secretariat)	92294350	8	89913	89935	NP
89937	Senior Manager(Conduct & Discipline Policy)	92294019	7	89913	89935	NP
89938	Senior Manager(Secretariat)	92294461	9	89913	89935	NP
89939	Manager(Conduct & Discipline Policy)	92294085	8	89913	89935	NP
89940	Senior Assistant Executive(Conduct & Discipline Policy)	92294416	7	89913	89935	NP
89941	Senior Executive (Secretariat)	92294339	7	89913	89935	NP
89942	Senior Assistant Executive (Secretariat)	92294263	7	89913	89935	NP
89943	Assistant Executive (Secretariat)	92294345	8	89913	89935	NP
89944	Secretariat Assistant(Secretariat)	92294380	9	89913	89935	NP
89945	Executive(Discipline)	\N	7	89913	89935	NP
89946	"Executive(Conduct,Discipline & Secretariat)"	\N	8	89913	89935	NP
89948	"Personal Assistant to Director, PSC"	63324165	7	89878	89947	NP
89950	"Personal Assistant to Chairman, PSC"	63324188	7	89878	89949	NP
89951	"Secretary, PSC"	63323483	7	89878	89949	NP
89952	"Personal Assistant to Secretary, PSC"	63324173	9	89878	89949	NP
89953	Director (Secretariat)	63324186	9	89878	89949	NP
89954	"Personal Assistant to Director, PSC"	63324186	7	89878	89949	NP
89956	Project Director	92294562	7	89955	89259	NP
89957	Deputy Director	92294075	7	89955	89956	NP
89958	Senior Consultant	92294854	9	89955	89956	NP
89959	Lead Consultant	92294157	8	89955	89956	NP
89961	Senior Director	63327806	10	89960	89259	NP
89962	Director	63329761	7	89960	89961	NP
89963	Deputy Director	92294000	7	89960	89962	NP
89964	Senior Assistant Director	92294343	7	89960	89962	NP
89965	Assistant Director	92294246	9	89960	89962	NP
89966	Assistant Director (Projects)	92294026	8	89960	89961	NP
89967	Assistant Director (Industrial Relations)	92294424	8	89960	89961	NP
89968	Manager	92294483	9	89960	89961	NP
89969	Senior Executive	92294250	9	89960	89961	NP
89970	Senior Manager	92294041	7	89960	89961	NP
89971	Personal Assistant to D(BP) cum Assistant Executive (Superannuation & Industrial Relations)	63324501	7	89960	89961	NP
89972	Executive	92294004	7	89960	89961	NP
89973	Senior Assistant Executive	92294016	9	89960	89972	NP
89974	Assistant Executive	92294011	8	89960	89972	NP
89975	"Senior Assistant Director (MFA, MOF, MOT, MTI, NCCS, NPTD, NRF, PSD)"	98889209	9	89960	89961	NP
89976	Personal Assistant to SD (BP&CHROO) cum Senior Assistant Executive	63327875	8	89960	89961	NP
89977	Senior Executive	92294492	9	89960	89961	NP
89978	Advisor	92294001	9	89960	89961	NP
89979	"Assistant Director (AGC, LSCS, MINDEF, MHA, MINLAW, STATE COURTS, SUPCOURT)"	92294077	7	89960	89961	NP
89980	Personal Assistant to SD (BP) & D (BP) cum Senior Assistant Executive	63327864	9	89960	89961	NP
89981	"Assistant Director (MFA, MOF, MOT, MTI, NCCS, NPTD, NRF, PSD)"	98889209	8	89960	89961	NP
89982	Senior Assistant Executive	92294016	7	89960	89961	NP
89983	Assistant Executive	92294011	8	89960	89961	NP
89984	"Assistant Director (MCCY, MCI, MEWR, MOH, MOM, MND, MSF)"	92294185	9	89960	89961	NP
89985	"Assistant Director (CPIB, ISD, SID, ELD, President????s Office, Cabinet Office, PMO (HQ), Parl, NSCS)"	92294719	7	89960	89961	NP
89986	Assistant Director (MOE)	92294449	8	89960	89961	NP
89988	Senior Director	63324781	8	89987	89259	NP
89989	Director	63327136	10	89987	89988	NP
89990	Assistant Director	92294012	8	89987	89989	NP
89991	Senior Assistant Director	92294346	8	89987	89989	NP
89992	Manager	92294032	9	89987	89988	NP
89993	Senior Executive	92294493	9	89987	89988	NP
89994	Senior Assistant Executive	92294082	9	89987	89988	NP
89995	Director (Competencies and Learning)	63327618	7	89987	89988	NP
89996	"Personal Assistant to Director (CD, EPO, LD/PSL) cum Assistant Executive"	63327301	9	89987	89988	NP
89997	Personal Assistant to Senior Director & Director cum Senior Assistant Executive	63328701	8	89987	89988	NP
89998	Personal Assistant to Senior Director cum Senior Assistant Executive	63328685	7	89987	89988	NP
89999	Personal Assistant (EPO) cum Assistant Executive	92294413	7	89987	89988	NP
90000	Personal Assistant to Director cum Senior Assistant Executive	92294082	9	89987	89988	NP
90001	Lead Executive	92294362	7	89987	89988	NP
90002	Executive	98889209	7	89987	89988	NP
90003	Senior Assistant Executive	92294082	8	89987	90002	NP
90004	Assistant Executive	92295142	7	89987	90002	NP
90005	Personal Assistant to Senior Director & Director	63328699	8	89987	89988	NP
90007	Chief HR Officer	63327820	10	90006	89259	NP
90008	Personal Assistant cum Senior Assistant Executive	63327845	9	90006	90007	NP
90009	Manager	92294172	7	90006	90007	NP
90010	Senior Executive	92294477	7	90006	90007	NP
90011	Assistant Director	92294199	8	90006	90007	NP
90012	Senior Assistant Director	92294246	8	90006	90007	NP
90054	Director	63327328	9	90013	89259	NP
90015	Senior Manager	98889162	10	90014	90054	NP
90016	Administration Assistant	92294278	7	90014	90015	NP
90017	Senior Executive	92294557	9	90014	90015	NP
90018	Senior Assistant Executive	92294424	9	90014	90015	NP
90019	Assistant Executive	92294297	8	90014	90015	NP
90020	Assistant Registry Officer	92294296	9	90014	90015	NP
90021	Executive	92294034	9	90014	90015	NP
90022	Assistant Executive	92294289	7	90014	90021	NP
90023	Manager	98889153	7	90014	90054	NP
90024	Executive	92294064	7	90014	90023	NP
90025	Senior Assistant Executive	92294410	7	90014	90024	NP
90026	Assistant Executive	92294289	7	90014	90024	NP
90027	Administration Assistant	92294239	8	90014	90023	NP
90028	Assistant Registry Officer	92294302	8	90014	90023	NP
90030	Senior Assistant Director	92294122	8	90029	90054	NP
90031	Manager	92294430	7	90029	90030	NP
90032	Senior Executive	98889159	10	90029	90030	NP
90033	Senior Executive	92294085	9	90029	90030	NP
90034	Executive	92294284	7	90029	90030	NP
90035	Senior Assistant Executive	92294213	8	90029	90034	NP
90036	Assistant Executive	92294304	8	90029	90034	NP
90037	Senior Manager	98889141	9	90029	90030	NP
90038	Senior Assistant Executive	92294189	7	90029	90030	NP
90039	Assistant Executive	92294304	8	90029	90030	NP
90041	Assistant Director	92294078	7	90040	90054	NP
90042	Senior Executive	92294548	10	90040	90041	NP
90043	Executive	92294383	8	90040	90041	NP
90044	Senior Assistant Executive	92294186	9	90040	90043	NP
90045	Senior Assistant Executive	92294424	9	90040	90041	NP
90046	Project Manager	92294218	7	90040	90041	NP
90047	Manager	92294414	9	90040	90041	NP
90049	Senior Assistant Director	92294122	9	90048	90054	NP
90050	Senior Executive	92294286	8	90048	90049	NP
90051	Manager	98889162	8	90048	90049	NP
90052	Senior Manager	98889952	8	90048	90049	NP
90053	Assistant Executive	92294264	8	90048	90049	NP
90055	Personal Assistant to Director cum Senior Assistant Executive (Finance Coordinator/Procurement)	63327835	7	90013	90054	NP
90072	Director	63327264	8	90056	89259	NP
90058	Assistant Director	98889188	10	90057	90072	NP
90059	Senior Executive	92294193	7	90057	90058	NP
90060	Manager	98889660	7	90057	90058	NP
90061	Assistant Executive	92294264	9	90057	90058	NP
90062	Senior Assistant Executive	92294497	7	90057	90058	NP
90063	Executive	92294488	8	90057	90058	NP
90064	Assistant Executive	92294264	9	90057	90063	NP
90066	Assistant Director	98889144	8	90065	90072	NP
90067	Senior Executive	98889120	8	90065	90066	NP
90068	Senior Executive	98889134	9	90065	90066	NP
90069	Manager	98889208	8	90065	90066	NP
90070	Assistant Director	98889951	8	90065	90066	NP
90071	Senior Manager	92294106	7	90065	90066	NP
90073	Personal Assistant	63328684	9	90056	90072	NP
90075	Director	63327727	8	90074	89259	NP
90076	Personal Assistant cum Assistant Executive	63327298	8	90074	90075	NP
90077	Manager	92294524	10	90074	90075	NP
90078	Deputy Director	92295069	9	90074	90075	NP
90079	Assistant Director	92294562	9	90074	90075	NP
90081	Director	63327328	10	90080	89259	NP
90082	Personal Assistant cum Senior Assistant Executive	63327794	7	90080	90081	NP
90083	Manager (Systems Capability)	92294270	9	90080	90081	NP
90084	Senior Analyst (Systems Capability)	98889165	7	90080	90081	NP
90085	Assistant Director (Systems Capability)	92294261	8	90080	90081	NP
90086	Senior Assistant Executive (Systems Capability)	92294251	8	90080	90081	NP
90087	Senior Manager (Systems Capability)	92294270	7	90080	90081	NP
90088	Lead Analyst (Systems Capability)	92294048	8	90080	90081	NP
90089	Senior Assistant Director (Systems Capability)	92294261	7	90080	90081	NP
90090	2nd Director	63328678	8	90080	90081	NP
90091	Analyst (Systems Capability)	92294254	8	90080	90081	NP
90092	Deputy Director	92294497	7	90080	90081	NP
90093	Personal Assistant to 2nd Director cum Senior Assistant Analyst	63328678	8	90080	90081	NP
90126	Senior Director	63327640	8	90094	89259	NP
90096	Senior Assistant Director	98889150	9	90095	90126	NP
90097	Manager	92294514	8	90095	90096	NP
90098	Senior Executive	92294102	8	90095	90096	NP
90099	Head (Board Nomination Coordinating Secretariat)	92294459	7	90095	90096	NP
90100	Senior Assistant Executive	92294141	7	90095	90096	NP
90101	Executive	92294455	7	90095	90096	NP
90102	Senior Assistant Executive	92294243	8	90095	90101	NP
90103	Senior Assistant Executive	63327101	8	90095	90101	NP
90105	Senior Assistant Director	92294206	9	90104	90126	NP
90106	Manager	92294018	7	90104	90105	NP
90107	Senior Executive	92294198	8	90104	90105	NP
90108	Senior Assistant Executive	92294200	8	90104	90105	NP
90110	Assistant Director	92294346	7	90109	90126	NP
90111	Senior Assistant Executive	92294222	10	90109	90110	NP
90112	Lead Analyst	92294522	8	90109	90110	NP
90113	Senior Analyst	92294525	9	90109	90110	NP
90114	Manager	92294525	7	90109	90110	NP
90115	Analyst	98889200	7	90109	90110	NP
90116	Assistant Executive	92294206	9	90109	90110	NP
90117	Assistant Director	92294211	9	90109	90110	NP
90119	Assistant Director	92294058	7	90118	90126	NP
90120	Senior Executive	92294314	9	90118	90119	NP
90121	Manager	92294480	8	90118	90119	NP
90122	Executive	98889142	8	90118	90119	NP
90123	Assistant Executive	92294208	7	90118	90122	NP
90124	Assistant Executive	92295068	8	90118	90119	NP
90125	Senior Assistant Executive	92294242	8	90118	90119	NP
90127	Director	92294496	10	90094	90126	NP
90128	Deputy Director	98889154	8	90094	90127	NP
90129	Personal Assistant to SD	63327671	8	90094	90126	NP
90130	Director (Competencies and Learning)	63327650	8	90094	90126	NP
90131	Personal Assistant to Director cum Senior Assistant Executive (Deployment)	63327132	7	90094	90126	NP
90132	Personal Assistant	63327671	8	90094	90126	NP
90133	Deputy Director	92294537	9	90094	90126	NP
90135	Senior Manager	92294224	10	90134	90126	NP
90136	Manager	98889130	7	90134	90135	NP
90137	Assistant Executive	92294186	7	90134	90135	NP
90138	Senior Executive	98889157	9	90134	90135	NP
90139	Senior Assistant Executive	98889671	8	90134	90135	NP
90140	Assistant Executive	92294281	7	90134	90135	NP
90142	Assistant Director	92294373	10	90141	90126	NP
90143	Senior Executive	92294298	8	90141	90142	NP
90144	Executive	92294021	8	90141	90142	NP
90145	Senior Assistant Executive	92294100	9	90141	90144	NP
90146	Senior Assistant Executive	92294212	9	90141	90142	NP
90147	Manager	98889225	7	90141	90142	NP
90149	Senior Manager	92294224	7	90148	90126	NP
90150	Senior Executive	92294117	7	90148	90149	NP
90151	Senior Assistant Executive	98979811	10	90148	90149	NP
90152	Assistant Executive	92294196	9	90148	90149	NP
90156	Manager	92294167	10	90155	\N	NP
90157	Manager	98889324	8	90155	90156	NP
90158	Senior Assistant Executive	92294118	7	90155	90156	NP
90159	Senior Manager	98889320	8	90155	90156	NP
90196	Senior Director	63328367	8	90153	89259	NP
90160	Assistant Director	92294224	9	90155	90196	NP
90161	Manager	92294127	8	90155	90160	NP
90162	Senior Assistant Executive	92294158	7	90155	90160	NP
90164	Senior Assistant Director	92294478	10	90163	90196	NP
90165	Communications Designer	92294314	8	90163	90164	NP
90166	Senior Assistant Executive	92294158	7	90163	90164	NP
90167	Senior Executive (Digital)	92294249	7	90163	90164	NP
90168	Manager	92294119	8	90163	90164	NP
90169	Editor	92294093	8	90163	90164	NP
90170	Senior Manager	92294119	9	90163	90164	NP
90172	Assistant Director	92294305	7	90171	90196	NP
90173	Senior Executive	92294099	8	90171	90172	NP
90174	Executive	92384541	9	90171	90172	NP
90175	Senior Assistant Executive	92294158	7	90171	90174	NP
90177	Manager	92294167	8	90176	\N	NP
90178	Senior Executive	98979397	7	90176	90177	NP
90179	Senior Assistant Executive	92294155	10	90176	90177	NP
90180	Senior Assistant Director	98889224	8	90176	\N	NP
90181	Manager	98889120	8	90176	90180	NP
90182	Senior Executive	98979397	9	90176	90180	NP
90183	Senior Assistant Executive	92294158	8	90176	90180	NP
90185	Senior Assistant Director	92294478	7	90184	\N	NP
90186	Editor (Challenge)	92294125	9	90184	90185	NP
90187	Communications Designer	92384499	8	90184	90185	NP
90188	Senior Assistant Executive	92294158	7	90184	90185	NP
90190	Assistant Director	92294305	9	90189	\N	NP
90191	Manager	92294119	7	90189	90190	NP
90192	Senior Executive	92294101	7	90189	90190	NP
90193	Executive	92294369	7	90189	90190	NP
90194	Assistant Director (Engagement)	92295159	7	90189	90190	NP
90195	Senior Executive (Channels)	92294207	8	90189	90190	NP
90197	Personal Assistant to Senior Director and Director	68358295	9	90153	90196	NP
90199	Director (Governance)	63326410	9	90153	90196	NP
90200	Assistant Director (Governance)	98889104	7	90153	90199	NP
90201	Personal Assistant to Director (Employee Communications and Engagement)	68379060	8	90153	90196	NP
90202	Director (Employee Communications & Engagement)	68379297	9	90153	90196	NP
90203	Senior Principal Organisational Development Consultant	63327465	9	90153	90196	NP
90204	Personal Assistant to Senior Principal Organisational Development Consultant	68358257	9	90153	90203	NP
90205	Deputy Director (Employee Comms & Engagement	92294032	7	90153	90196	NP
90206	"Deputy Director (Design, Innovation & Integration, Service Strategy, Capabilities)"	98889157	8	90153	90196	NP
90207	Senior Assistant Director (Workforce Transformation)	92293990	8	90153	90196	NP
90208	Director	63329042	7	90153	90196	NP
90209	Deputy Director (Strategy and Change Team	92294350	7	90153	90196	NP
90210	Director (Services)	63329042	7	90153	90196	NP
90211	Deputy Director (Services)	98889157	9	90153	90210	NP
90212	Assistant Director (PS21 Strategy)	98889104	7	90153	90196	NP
90213	Deputy Director (Organisation Development)	92294364	8	90153	90196	NP
90214	Deputy Director (Public Service Engagement)	92294032	9	90153	90196	NP
90215	Senior Organisation Development Consultant	63327465	7	90153	90196	NP
90216	Director (Employee Communications & Engagement) - Designated	68379283	7	90153	90196	NP
90217	Coordinating Director (Internal Communications & Research)	68379466	8	90153	90196	NP
90218	Personal Assistant to Coordinating Director (Internal Communications & Research)	68379374	9	90153	90217	NP
90221	Assistant Director	92294361	8	90220	90196	NP
90222	Manager	92294377	10	90220	90221	NP
90223	Senior Executive	92294565	9	90220	90221	NP
90224	Senior Assistant Executive	68358299	9	90220	90221	NP
90226	Assistant Director	92294028	10	90225	90196	NP
90227	Manager	98889147	7	90225	90226	NP
90228	Senior Executive	92294394	9	90225	90226	NP
90229	Senior Assistant Executive	92294234	9	90225	90226	NP
90231	Assistant Director	98889146	8	90230	90196	NP
90232	Senior Design Lead	92294135	7	90230	90231	NP
90233	Design Lead	92294247	7	90230	90231	NP
90234	Senior Executive	92384689	9	90230	90231	NP
90235	Senior Assistant Executive	92294275	7	90230	90231	NP
90237	Senior Assistant Executive	92294234	9	90236	\N	NP
90240	Manager	92294516	9	90239	90196	NP
90241	Senior Executive	92294330	7	90239	90240	NP
90242	Senior Assistant Executive	92294105	8	90239	90240	NP
90243	Organisation Development Lead	92294308	9	90239	90240	NP
90244	Senior Executive	92384419	8	90239	90240	NP
90245	OD Lead	92294302	8	90239	90240	NP
