staffid	jobid	postdate	enddate
12677	89305	2018-05-08	2018-10-22
12677	89323	2017-05-22	2018-10-22
12677	89597	2017-05-22	2018-10-22
12677	90054	2015-03-20	2017-05-07
12677	90081	2015-03-20	2017-05-07
12677	92626	2018-04-22	2018-10-22
12678	89318	2018-09-22	2018-10-22
12678	89321	2017-05-22	2018-09-07
12678	89324	2017-06-23	2018-10-22
12678	89325	2017-05-22	2017-05-22
12678	89598	2017-05-22	2018-10-22
12678	90055	2015-03-20	2017-05-07
12678	90082	2015-03-20	2017-05-07
12678	92627	2018-04-22	2018-10-22
12679	89435	2018-06-22	2018-10-22
12679	90072	2015-03-20	2017-05-07
12680	90073	2015-03-20	2015-12-07
12681	89751	2017-06-23	2018-10-22
12681	90075	2015-03-20	2017-05-07
12683	89490	2017-05-22	2018-10-22
12683	89571	2017-05-22	2018-10-22
12683	90126	2015-03-20	2017-05-07
12683	90415	2016-08-29	2017-05-07
12683	90514	2017-01-07	2017-05-07
12683	90549	2015-03-20	2016-12-22
12684	89389	2018-03-22	2018-03-22
12684	89572	2017-05-22	2018-10-22
12684	90515	2017-01-07	2017-05-07
12684	90550	2015-03-20	2016-12-22
12686	89594	2017-05-22	2018-03-22
12686	89691	2018-04-07	2018-04-23
12686	89702	2018-07-07	2018-10-22
12686	89705	2018-05-07	2018-06-22
12686	90506	2017-01-07	2017-05-07
12686	90536	2016-07-06	2016-12-22
12686	90539	2015-04-08	2016-06-24
12686	90548	2015-03-20	2015-03-20
12686	90552	2015-03-20	2015-03-20
12689	89573	2017-05-22	2018-10-22
12689	89935	2015-03-20	2015-04-08
12689	90519	2017-01-07	2017-05-07
12689	90555	2016-12-07	2016-12-22
12689	90557	2015-03-20	2016-11-22
12690	89574	2017-05-22	2018-10-22
12690	89624	2017-06-23	2018-10-22
12690	89641	2017-05-22	2017-05-22
12690	89698	2018-04-07	2018-10-22
12690	90520	2017-01-07	2017-05-07
12690	90553	2015-03-20	2016-12-22
12691	89407	2017-06-23	2018-10-22
12691	89840	2015-03-20	2017-05-22
12691	92605	2017-04-22	2018-10-22
12692	89398	2017-06-23	2018-10-22
12692	89408	2017-06-23	2018-10-22
12692	89834	2017-05-22	2017-05-22
12692	89842	2015-03-20	2017-05-07
12692	89843	2017-05-22	2017-05-22
12693	89409	2017-06-23	2018-10-22
12693	89841	2015-03-20	2017-05-22
12696	89600	2017-05-22	2018-10-22
12696	90085	2015-03-20	2016-11-22
12696	90089	2016-12-07	2017-05-07
12697	89601	2017-05-22	2018-03-22
12699	89601	2018-05-22	2018-10-22
12699	90083	2015-03-20	2015-09-07
12699	90087	2015-09-22	2017-04-22
12700	89602	2017-05-22	2018-10-22
12700	90087	2017-05-07	2017-05-07
12702	90084	2015-03-20	2016-10-07
12703	89605	2017-05-22	2018-05-23
12704	89604	2017-09-23	2018-10-22
12704	90088	2016-04-07	2017-05-07
12710	89604	2017-05-22	2017-09-22
12711	90084	2016-10-08	2017-05-07
12711	90091	2015-03-20	2016-09-22
12712	89606	2017-05-22	2018-10-22
12712	90086	2015-03-20	2017-05-07
12713	89605	2018-05-24	2018-10-22
12714	89871	2015-03-20	2016-10-22
12715	89433	2017-06-23	2017-08-22
12715	89863	2016-11-15	2017-05-22
12715	89872	2015-03-20	2016-10-22
12716	89432	2017-06-23	2018-05-23
12716	89721	2018-06-07	2018-10-22
12716	89867	2016-11-15	2017-05-07
12716	89869	2017-05-22	2017-05-22
12716	89873	2015-03-20	2016-10-22
12717	89864	2016-11-15	2017-05-22
12717	89874	2015-03-20	2016-10-22
12720	89875	2015-03-20	2015-12-22
12721	89865	2016-11-15	2017-05-22
12721	89875	2015-12-23	2016-10-22
12724	90133	2015-03-20	2015-04-08
12725	89536	2017-06-23	2018-10-22
12725	89947	2016-06-13	2017-05-22
12725	89953	2015-09-07	2016-04-07
12725	90415	2015-03-20	2015-07-22
12726	90196	2015-03-20	2016-03-22
12727	89759	2017-06-23	2017-09-23
12727	89821	2017-07-22	2017-07-22
12727	90208	2016-11-15	2017-05-07
12727	90210	2015-03-20	2016-10-22
12727	90305	2016-04-07	2016-07-22
12728	90217	2015-03-20	2015-10-22
12728	92154	2017-01-07	2018-08-07
12729	89820	2017-05-22	2017-05-22
12729	90203	2016-08-07	2017-05-07
12729	90215	2015-03-20	2016-03-22
12729	90315	2016-06-13	2016-07-22
12729	90318	2016-04-07	2016-04-07
12730	89781	2018-02-07	2018-10-22
12730	89783	2017-05-22	2018-01-22
12730	89789	2018-02-07	2018-10-22
12730	89792	2017-07-08	2018-01-22
12730	89803	2017-05-22	2017-06-23
12730	89814	2018-02-07	2018-10-22
12730	89817	2017-06-23	2018-01-22
12730	90197	2015-03-20	2017-05-07
12730	90309	2016-04-07	2016-07-22
12731	90218	2015-03-20	2015-10-22
12731	92155	2017-01-07	2018-08-07
12732	90209	2016-10-07	2016-12-22
12732	90213	2015-03-20	2016-09-22
12732	90311	2016-04-07	2016-07-22
12733	89776	2017-05-22	2017-07-22
12733	90205	2016-10-07	2017-05-07
12733	90214	2015-03-20	2016-09-22
12733	90312	2016-04-07	2016-07-22
12734	90206	2016-10-07	2016-10-22
12734	90211	2015-03-20	2016-09-22
12734	90313	2016-04-07	2016-07-22
12736	89949	2015-03-20	2016-04-07
12737	89948	2016-06-13	2016-08-07
12737	89950	2015-03-20	2016-04-07
12737	89954	2015-03-20	2016-04-07
12740	89953	2015-03-20	2015-07-22
12743	90128	2016-04-07	2017-02-22
12743	90133	2015-06-08	2016-03-22
12743	90415	2015-09-07	2016-08-07
12743	90416	2015-03-20	2017-02-22
12744	90199	2015-07-22	2017-05-07
12744	90307	2016-04-07	2016-07-22
12744	90621	2015-03-20	2015-06-08
12745	89761	2018-02-07	2018-10-22
12745	89780	2017-05-22	2018-10-22
12745	89787	2017-07-08	2018-10-22
12745	89802	2017-05-22	2017-06-23
12745	90229	2016-10-07	2017-05-07
12745	90237	2016-10-07	2016-10-22
12745	90288	2016-06-13	2016-09-22
12745	90291	2015-07-22	2016-03-22
12745	90294	2016-04-07	2016-04-07
12745	90298	2015-10-07	2016-09-22
12745	90300	2015-07-22	2015-09-22
12745	90622	2015-03-20	2015-06-08
12746	90623	2015-03-20	2015-06-08
12747	90624	2015-03-20	2015-06-08
12748	89384	2017-05-22	2017-05-22
12748	89387	2017-06-23	2018-03-22
12748	89765	2018-04-23	2018-10-22
12748	89785	2017-07-08	2018-10-22
12748	89796	2017-05-22	2017-06-23
12748	89810	2018-04-07	2018-10-22
12748	90207	2016-10-07	2017-05-07
12748	90466	2016-10-07	2017-05-07
12748	90630	2015-03-20	2015-03-20
12749	90625	2015-03-20	2015-06-08
12750	90626	2015-03-20	2015-06-08
12756	90627	2015-03-20	2015-04-08
12759	90628	2015-04-08	2015-06-08
12759	90631	2015-03-20	2015-03-20
12760	90629	2015-04-08	2015-06-08
12761	89383	2017-05-22	2017-05-22
12761	89385	2017-06-23	2018-03-22
12761	89599	2017-05-22	2018-10-22
12761	89763	2018-04-23	2018-10-22
12761	90090	2017-04-22	2017-05-07
12761	90463	2015-03-20	2016-07-22
12761	90465	2016-08-07	2017-05-07
12762	89381	2018-04-07	2018-10-22
12762	89386	2017-06-23	2018-03-22
12762	89388	2017-05-22	2017-05-22
12762	89576	2018-04-07	2018-10-22
12762	89609	2018-04-22	2018-10-22
12762	89764	2018-04-23	2018-10-22
12762	90464	2015-03-20	2017-05-07
12763	91513	2015-03-20	2016-03-22
12764	90857	2015-03-20	2018-10-22
12764	90894	2015-03-20	2018-10-22
12764	91312	2016-06-13	2017-02-07
12764	91514	2015-03-20	2016-03-22
12765	90673	2015-03-20	2018-10-22
12767	90714	2015-03-20	2018-10-22
12769	90697	2015-03-20	2015-03-20
12769	90702	2015-04-08	2018-10-22
12769	90717	2015-03-20	2018-10-22
12770	90760	2016-04-07	2016-04-07
12770	90773	2016-06-13	2018-10-22
12770	90787	2015-04-08	2016-03-22
12770	90795	2015-03-20	2015-03-20
12770	91444	2016-04-07	2018-10-22
12775	90834	2015-03-20	2016-04-07
12775	90839	2015-07-22	2015-07-22
12776	90826	2015-09-07	2018-10-22
12776	90835	2015-03-20	2015-06-08
12776	90840	2015-07-22	2015-07-22
12776	91152	2018-07-07	2018-10-22
12776	91154	2015-03-20	2018-06-22
12777	90831	2018-04-07	2018-07-22
12777	90832	2015-03-20	2018-03-22
12777	90841	2015-07-22	2015-07-22
12778	90856	2015-03-20	2016-03-22
12780	90845	2015-03-20	2018-10-22
12780	90858	2015-03-20	2018-10-22
12781	90893	2015-03-20	2018-10-22
12783	90867	2015-03-20	2015-06-08
12783	90895	2015-03-20	2015-06-08
12783	90905	2015-03-20	2015-06-08
12783	90912	2015-03-20	2015-06-08
12783	90918	2015-03-20	2015-06-08
12784	90867	2015-07-22	2016-04-07
12784	90872	2015-07-22	2018-10-22
12784	90889	2015-03-20	2015-06-08
12784	90900	2016-06-13	2018-10-22
12784	90905	2015-07-22	2016-04-07
12784	90912	2015-07-22	2016-04-07
12784	90918	2015-07-22	2016-04-07
12784	90923	2015-07-22	2016-04-07
12784	90933	2015-03-20	2015-06-08
12784	90942	2015-03-20	2015-06-08
12785	90697	2015-04-08	2018-10-22
12785	90716	2015-04-08	2018-10-22
12785	90720	2016-04-07	2018-10-22
12785	90786	2015-04-08	2016-03-22
12785	90872	2015-03-20	2015-06-08
12785	90923	2015-03-20	2015-06-08
12786	90861	2016-06-13	2018-10-22
12786	90896	2015-03-20	2018-10-22
12787	90971	2015-04-08	2016-03-22
12787	91005	2015-03-20	2016-03-22
12788	90960	2016-04-07	2018-10-22
12788	90975	2015-04-08	2016-03-22
12788	90991	2015-04-08	2018-10-22
12788	91007	2015-04-08	2018-10-22
12788	91012	2015-03-20	2015-03-20
12788	91019	2016-04-07	2016-08-29
12788	91057	2015-03-20	2015-03-20
12789	90674	2015-07-22	2018-10-22
12789	90992	2015-04-08	2018-10-22
12789	91005	2017-08-22	2017-09-22
12789	91009	2015-09-07	2016-03-22
12789	91010	2016-09-07	2018-10-22
12789	91011	2015-04-08	2015-07-22
12789	91013	2015-03-20	2015-03-20
12789	91020	2016-04-07	2016-08-29
12789	91058	2015-03-20	2015-03-20
12789	91340	2015-03-20	2018-10-22
12790	91006	2015-04-08	2018-10-22
12790	91014	2015-03-20	2015-03-20
12790	91022	2016-04-07	2016-08-29
12790	91059	2015-03-20	2015-03-20
12791	91015	2015-03-20	2015-03-20
12791	91021	2016-04-07	2016-08-29
12791	91068	2015-03-20	2015-03-20
12793	90949	2015-03-20	2015-03-20
12793	91017	2015-03-20	2015-03-20
12793	91047	2015-03-20	2015-03-20
12794	90949	2015-04-08	2016-09-22
12794	90961	2016-04-07	2017-03-22
12794	90976	2015-04-08	2016-03-22
12794	91008	2015-04-08	2017-03-22
12794	91018	2015-03-20	2015-03-20
12794	91023	2016-04-07	2016-08-29
12794	91041	2015-03-20	2015-03-20
12796	91086	2016-06-13	2018-06-22
12796	91098	2015-03-20	2018-10-22
12796	91129	2016-06-13	2018-06-22
12796	91153	2015-03-20	2018-06-22
12796	91158	2016-06-13	2017-03-22
12797	91114	2016-06-13	2016-12-22
12797	91155	2015-03-20	2016-01-22
12797	91156	2016-02-07	2016-10-22
12799	91242	2017-04-07	2018-10-22
12799	91288	2015-03-20	2015-07-22
12799	91303	2016-06-13	2018-03-07
12799	91308	2015-03-20	2017-03-22
12800	91178	2015-03-20	2018-10-22
12800	91243	2017-04-07	2018-10-22
12800	91310	2015-09-07	2017-03-22
12800	91316	2015-03-20	2015-07-22
12802	91193	2017-09-22	2018-03-07
12802	91205	2015-03-20	2017-09-07
12802	91246	2017-09-22	2018-10-22
12802	91250	2017-04-07	2017-09-07
12802	91309	2015-03-20	2017-03-22
12803	91192	2018-03-22	2018-09-22
12803	91315	2015-03-20	2016-03-22
12803	91317	2016-04-07	2016-04-07
12804	91339	2015-03-20	2015-06-08
12806	91342	2015-04-08	2017-06-22
12806	91344	2015-03-20	2015-03-20
12806	91351	2015-03-20	2017-06-23
12806	91359	2017-07-07	2018-05-07
12807	91332	2015-03-20	2016-02-07
12807	91343	2015-04-08	2016-02-07
12807	91345	2015-03-20	2015-03-20
12807	91379	2015-03-20	2016-02-07
12808	91328	2018-06-07	2018-10-22
12808	91341	2015-03-20	2015-06-08
12808	91360	2017-12-07	2018-05-07
12808	91365	2017-07-22	2017-11-28
12808	91391	2015-03-20	2015-07-22
12811	91541	2015-03-20	2016-10-22
12811	91595	2015-03-20	2016-10-22
12812	91542	2015-03-20	2018-10-22
12812	91566	2015-03-21	2018-10-22
12812	91596	2015-03-20	2018-10-22
12813	91545	2015-03-20	2015-04-08
12814	91546	2015-03-20	2015-04-08
12815	91556	2015-03-20	2016-10-22
12816	91557	2015-03-20	2018-10-22
12816	91559	2016-11-15	2018-07-07
25427	93207	2015-03-20	2015-06-08
25428	92310	2016-08-07	2016-12-22
25428	92311	2017-04-07	2017-07-08
25428	92319	2017-01-07	2017-03-22
25428	93208	2015-03-20	2015-06-08
25430	93210	2015-03-20	2015-03-20
25431	92312	2017-04-07	2017-07-08
25431	92317	2016-08-07	2017-03-22
25431	93209	2015-04-08	2016-07-22
25433	92316	2016-08-07	2017-07-08
25434	92322	2017-01-07	2017-07-08
25434	92325	2016-08-07	2016-12-22
25434	93212	2015-03-20	2016-07-22
25435	93213	2015-03-20	2016-02-22
25437	92330	2016-08-07	2017-07-08
25437	93220	2015-03-20	2016-07-22
25438	93221	2015-03-20	2016-07-22
25439	92334	2016-08-07	2016-11-15
25439	93222	2015-03-20	2015-03-20
25439	93223	2015-04-08	2016-03-22
25440	92338	2016-08-07	2017-03-22
25440	93225	2015-03-20	2016-07-22
25441	92338	2017-04-07	2017-07-08
25441	92342	2016-08-07	2017-03-22
25441	93226	2016-04-07	2016-07-22
25441	93227	2015-04-08	2016-03-22
25441	93228	2015-03-20	2015-03-20
25442	92394	2016-08-07	2017-05-22
25442	93275	2015-03-20	2016-03-22
25443	92378	2016-08-07	2017-05-22
25443	93279	2015-04-08	2016-03-22
25443	93280	2015-03-20	2015-03-20
25444	93276	2015-04-08	2015-06-08
25444	93281	2015-03-20	2015-03-20
25445	92382	2016-08-07	2017-05-22
25446	93277	2016-01-22	2016-07-22
25446	93278	2015-03-20	2016-01-07
25447	92385	2016-08-07	2016-08-07
25447	93283	2015-03-20	2016-07-22
25448	92386	2017-04-07	2017-05-22
25448	92391	2016-08-07	2017-03-22
25448	93284	2015-04-08	2016-07-22
25448	93290	2015-03-20	2015-03-20
25449	93288	2015-03-20	2016-03-22
25450	92388	2017-04-07	2017-05-22
25450	92392	2016-08-07	2017-03-22
25450	93285	2015-07-22	2016-07-22
25450	93289	2015-03-20	2015-06-08
25451	92482	2016-08-07	2017-05-22
25451	93306	2015-03-20	2016-07-22
25452	92483	2016-08-07	2016-09-22
25452	93307	2015-03-20	2016-07-22
25453	93308	2015-03-20	2016-04-07
25454	92484	2016-08-07	2017-05-22
25454	93309	2015-03-20	2015-03-20
25455	92485	2016-08-07	2017-05-22
25455	93311	2015-03-20	2015-11-22
25456	93316	2015-03-20	2015-06-08
25457	92400	2016-08-07	2017-05-22
25457	93338	2015-04-08	2015-11-07
25457	93350	2015-03-20	2015-03-20
25458	92439	2016-08-07	2016-08-07
25458	93333	2016-03-07	2016-07-22
25458	93335	2015-11-22	2016-02-22
25458	93339	2015-04-08	2015-11-07
25458	93351	2015-03-20	2015-03-20
25459	92436	2016-08-29	2017-04-07
25459	92441	2016-08-07	2016-08-07
25459	93334	2016-03-07	2016-03-22
25459	93336	2015-11-22	2016-02-22
25459	93340	2015-04-08	2015-11-07
25459	93352	2015-03-20	2015-03-20
25460	92436	2017-04-07	2017-05-22
25460	92437	2016-08-29	2017-03-22
25460	92440	2016-08-07	2016-08-07
25460	93341	2015-04-08	2015-06-08
25460	93353	2015-03-20	2015-03-20
25461	92459	2016-08-07	2017-05-22
25461	93322	2015-03-20	2016-07-22
25462	93323	2015-04-08	2016-07-22
25462	93328	2015-03-20	2015-03-20
25463	92460	2016-08-07	2017-05-22
25463	93324	2015-04-08	2016-03-22
25464	92461	2016-08-07	2017-05-22
25465	93326	2015-03-20	2016-02-22
25466	92463	2017-04-07	2017-05-22
25466	92465	2017-02-07	2017-03-22
25466	92466	2016-08-07	2017-01-22
25466	93325	2015-07-22	2016-07-22
25466	93327	2015-03-20	2016-02-22
25467	92468	2016-08-07	2017-05-22
25467	93343	2015-04-08	2016-07-22
25467	93355	2015-03-20	2015-03-20
25468	92469	2016-08-07	2017-05-22
25468	93344	2015-04-08	2016-07-22
25468	93356	2015-03-20	2015-03-20
25469	93347	2015-04-08	2015-04-08
25469	93357	2015-03-20	2015-03-20
25470	92472	2017-04-07	2017-05-22
25470	92473	2016-08-07	2017-03-22
25470	93346	2015-06-08	2016-07-22
25470	93348	2015-04-08	2015-04-08
25470	93358	2015-03-20	2015-03-20
25471	93361	2015-03-20	2015-04-08
25472	92425	2016-08-07	2017-05-22
25472	93366	2015-03-20	2015-04-08
25473	93363	2015-09-07	2016-02-22
25473	93364	2015-03-20	2015-06-08
25473	93365	2015-07-22	2015-07-22
25474	92430	2016-08-07	2017-05-22
25474	93368	2015-03-20	2016-07-22
25475	93369	2015-03-20	2016-07-22
25476	93370	2015-03-20	2015-03-20
25478	92547	2016-08-07	2016-12-22
25478	93378	2015-03-20	2016-07-22
25479	92550	2016-08-07	2016-12-22
25479	93383	2015-03-20	2015-03-20
25479	93385	2015-04-08	2015-07-22
25480	92549	2016-08-07	2016-12-22
25480	93379	2015-03-20	2016-07-22
25481	93384	2015-03-20	2015-07-22
25482	92548	2016-08-07	2016-12-22
25482	93380	2015-03-20	2016-01-07
25483	92358	2017-02-07	2017-07-07
25483	92511	2016-08-07	2017-05-22
25483	92573	2017-02-07	2017-07-07
25485	92553	2016-12-22	2016-12-22
25487	92556	2016-12-22	2016-12-22
25488	92558	2016-08-07	2016-12-22
25488	93387	2015-03-20	2016-07-22
25489	93401	2015-03-20	2015-07-22
25490	92559	2016-08-07	2016-12-22
25490	93388	2015-03-20	2016-07-22
25491	93400	2015-03-20	2015-09-22
25492	92566	2016-08-07	2016-12-22
25492	93393	2015-03-20	2016-07-22
25493	93394	2015-03-20	2015-06-08
25494	92560	2016-08-07	2016-12-22
25494	93389	2015-03-20	2015-03-20
25494	93390	2015-04-08	2016-07-22
25495	92561	2016-08-07	2016-12-22
25495	93403	2015-03-20	2015-03-20
25496	92562	2016-08-07	2016-12-22
25496	93395	2016-04-07	2016-07-22
25496	93397	2015-04-08	2016-03-22
25496	93404	2015-03-20	2015-03-20
25497	92565	2016-08-07	2016-12-22
25497	93392	2016-04-07	2016-07-22
25497	93398	2015-07-22	2016-03-22
25497	93402	2015-03-20	2015-06-08
25498	93399	2015-03-20	2015-12-07
25499	92501	2016-08-07	2016-08-29
25499	93411	2015-03-20	2016-07-22
25500	93412	2015-03-20	2015-10-22
25501	92505	2016-08-07	2017-05-22
25501	92602	2017-02-07	2017-07-07
25501	93416	2015-03-20	2016-07-22
25502	93418	2015-10-22	2016-02-22
25502	93419	2015-03-20	2015-10-07
25503	92507	2016-08-07	2017-05-22
25503	92594	2017-02-07	2017-07-07
25504	92517	2016-08-07	2017-01-22
25504	92683	2017-02-07	2017-05-22
25504	93430	2015-03-20	2016-03-22
25504	93434	2016-04-07	2016-07-22
25505	93441	2015-03-20	2016-06-24
25506	92519	2016-08-07	2017-01-22
25506	92685	2017-02-07	2017-05-22
25506	93435	2016-04-07	2016-07-22
25506	93442	2015-03-20	2016-03-22
25507	92518	2016-08-07	2017-01-22
25507	92690	2017-02-07	2017-05-22
25507	93432	2015-04-08	2016-07-22
25507	93448	2015-03-20	2015-03-20
25508	92521	2016-08-07	2017-01-22
25508	92689	2017-02-07	2017-05-22
25508	92714	2017-02-07	2017-05-22
25508	93437	2016-04-07	2016-07-22
25508	93446	2015-04-08	2016-03-22
25508	93449	2015-03-20	2015-03-20
25509	92523	2016-08-07	2017-01-22
25509	93438	2016-04-07	2016-07-22
25509	93443	2015-03-20	2016-03-22
25510	92524	2016-08-07	2017-01-22
25510	92688	2017-04-07	2017-05-22
25510	92694	2017-02-07	2017-03-22
25510	93431	2015-03-20	2016-07-22
25511	92525	2016-08-07	2017-01-22
25511	92715	2017-04-07	2017-05-22
25511	92722	2017-02-07	2017-03-22
25511	93439	2016-04-07	2016-07-22
25511	93444	2015-03-20	2016-03-22
25512	92526	2016-08-07	2017-01-22
25512	92716	2017-04-07	2017-05-22
25512	93440	2016-04-07	2016-07-22
25512	93445	2015-03-20	2016-03-22
25513	92516	2016-08-07	2017-01-22
25513	92528	2016-08-07	2017-01-22
25513	92607	2017-02-07	2017-07-07
25513	93451	2015-03-20	2016-07-22
25514	92530	2016-08-07	2017-01-22
25514	92608	2017-02-07	2017-07-07
25514	93452	2015-03-20	2016-07-22
25515	92531	2016-08-07	2017-01-22
25515	93453	2015-03-20	2016-07-22
25516	92532	2016-08-07	2017-01-22
25516	93454	2015-03-20	2016-07-22
25517	92533	2016-08-07	2017-01-22
25517	92610	2017-04-07	2017-07-07
25517	92617	2017-02-07	2017-03-22
25517	93455	2015-03-20	2016-07-22
25518	92534	2016-08-07	2017-01-22
25518	92611	2017-04-07	2017-07-07
25518	93456	2015-03-20	2016-07-22
25519	92536	2016-08-07	2017-01-22
25519	92698	2017-02-07	2017-05-22
25519	92837	2017-05-07	2018-05-08
25519	93459	2015-03-20	2016-07-22
25520	93460	2015-03-20	2015-06-08
25521	92538	2016-08-07	2016-09-22
25521	92838	2017-05-07	2018-04-23
25521	93461	2015-03-20	2016-07-22
25522	92539	2016-08-07	2017-01-22
25522	92700	2017-02-07	2017-05-22
25522	93462	2015-03-20	2016-07-22
25524	92540	2016-08-07	2017-01-22
25524	92701	2017-02-07	2017-05-22
25524	93463	2015-07-22	2016-07-22
25525	92537	2016-08-07	2017-01-22
25525	92702	2017-02-07	2017-05-22
25526	92541	2016-08-07	2017-01-22
25526	92703	2017-02-07	2017-05-22
25526	93464	2015-07-22	2016-07-22
25527	92704	2017-02-07	2017-05-22
25529	89282	2017-11-28	2018-09-07
25529	89319	2017-05-22	2018-09-07
25529	90015	2015-06-08	2015-12-22
25529	90023	2015-03-20	2015-04-08
25529	90049	2017-03-22	2017-05-07
25529	90051	2015-03-20	2015-04-08
25529	90052	2015-06-08	2017-02-22
25530	90021	2015-06-08	2015-10-22
25530	90024	2015-03-20	2015-04-08
25531	90025	2015-03-20	2015-04-08
25532	89280	2018-09-22	2018-10-22
25532	89284	2017-05-22	2018-09-07
25532	89291	2017-08-22	2017-09-23
25532	90019	2015-11-07	2017-05-07
25532	90022	2015-06-08	2015-10-22
25532	90026	2015-03-20	2015-04-08
25534	89281	2018-09-22	2018-10-22
25534	89285	2017-05-22	2018-09-07
25534	89292	2017-08-22	2017-09-23
25534	90016	2015-06-08	2017-05-07
25534	90027	2015-03-20	2015-04-08
25535	90020	2015-06-08	2017-04-07
25535	90028	2015-03-20	2015-04-08
25536	90030	2015-03-20	2016-07-06
25536	90049	2015-03-20	2017-02-22
25537	90037	2015-03-20	2015-04-08
25538	90031	2015-03-20	2017-05-07
25539	90032	2015-03-20	2015-10-07
25541	90032	2015-11-07	2016-07-06
25541	90034	2015-03-20	2015-09-22
25542	89298	2018-04-07	2018-10-22
25542	89301	2017-05-22	2018-03-22
25542	90035	2015-03-20	2017-04-22
25542	90038	2017-05-07	2017-05-07
25545	89303	2017-05-22	2018-01-07
25545	90036	2015-03-20	2017-04-22
25545	90039	2017-05-07	2017-05-07
25545	90053	2015-03-20	2015-07-22
25546	89311	2017-05-22	2017-07-22
25546	90015	2016-01-07	2017-05-07
25546	90041	2015-03-20	2017-05-07
25547	90046	2015-03-20	2016-04-07
25548	90047	2015-03-20	2015-03-20
25549	90042	2015-03-20	2016-04-07
25552	89316	2018-09-22	2018-10-22
25552	89320	2017-05-22	2018-09-07
25552	90050	2015-03-20	2016-03-22
25552	90051	2016-04-07	2017-05-07
25555	90058	2015-03-20	2017-05-07
25556	90060	2015-03-20	2017-05-07
25560	90059	2015-03-20	2016-03-22
25561	90062	2015-03-20	2015-03-20
25561	90063	2015-04-08	2015-07-22
25562	89337	2017-05-22	2017-09-23
25562	89346	2017-05-22	2017-07-22
25562	90061	2015-03-20	2017-05-07
25562	90064	2015-04-08	2016-03-22
25563	90066	2015-03-20	2015-03-20
25563	90070	2015-04-08	2015-04-08
25564	90069	2015-03-20	2016-10-22
25566	90067	2015-03-20	2017-04-07
25568	89565	2017-05-22	2018-10-22
25568	89644	2017-05-22	2017-05-22
25568	90496	2017-01-07	2017-05-07
25568	90523	2015-03-20	2016-12-22
25569	90527	2015-03-20	2016-08-29
25570	89566	2017-05-22	2017-09-23
25570	90499	2017-01-07	2017-04-22
25570	90500	2017-05-07	2017-05-07
25570	90524	2015-03-20	2016-12-22
25571	89567	2017-05-22	2018-10-22
25571	90498	2017-01-07	2017-05-07
25571	90525	2015-03-20	2016-12-22
25572	90476	2017-01-07	2017-05-07
25572	90529	2015-03-20	2016-11-15
25572	90531	2016-12-07	2016-12-22
25573	89551	2018-05-08	2018-10-07
25573	89588	2017-05-22	2018-04-23
25573	90477	2017-01-07	2017-05-07
25573	90530	2015-03-20	2016-12-22
25573	93740	2018-10-22	2018-10-22
25574	89404	2017-06-23	2018-10-22
25574	89836	2015-04-08	2017-05-22
25574	89839	2015-03-20	2015-03-20
25574	90542	2015-03-20	2015-03-20
25574	92663	2018-09-07	2018-10-22
25574	92665	2018-08-07	2018-08-22
25575	90540	2015-04-08	2016-03-22
25575	90543	2015-03-20	2015-03-20
25576	90534	2016-07-06	2016-08-29
25576	90541	2016-04-07	2016-06-24
25576	90544	2015-03-20	2015-03-20
25577	90112	2016-07-06	2017-05-07
25577	90388	2016-07-06	2017-05-07
25577	90538	2015-04-08	2016-06-24
25577	90545	2015-03-20	2015-03-20
25578	89552	2018-04-23	2018-09-21
25578	89558	2017-12-07	2018-04-07
25578	89592	2017-05-22	2017-11-28
25578	90504	2017-01-07	2017-04-22
25578	90535	2016-07-06	2016-12-22
25578	90546	2015-03-20	2015-03-20
25579	89595	2017-05-22	2017-08-22
25579	90547	2015-03-20	2015-03-20
25581	89824	2015-03-20	2016-04-07
25582	89393	2017-06-23	2018-10-22
25582	89824	2016-06-13	2017-05-22
25582	89828	2016-04-07	2016-04-07
25582	89832	2015-03-20	2016-03-22
25583	89825	2015-03-20	2016-03-22
25583	89830	2016-04-07	2016-09-22
25584	89825	2016-03-23	2017-05-07
25585	89829	2015-03-20	2017-04-22
25587	89826	2015-03-20	2015-03-20
25588	89566	2017-09-24	2018-10-22
25588	89826	2015-03-21	2015-09-22
25589	89632	2018-10-22	2018-10-22
25589	89633	2018-06-07	2018-10-07
25589	89827	2015-03-20	2017-05-22
25589	89831	2015-10-07	2016-04-07
25591	89397	2017-06-23	2018-10-22
25592	89836	2015-03-20	2015-03-20
25594	89405	2017-06-23	2018-10-22
25594	89838	2016-04-07	2017-05-22
25595	89406	2017-06-23	2018-04-07
25595	89837	2015-03-20	2017-05-22
25596	89400	2018-06-07	2018-10-22
25597	90135	2015-06-08	2015-07-22
25597	90149	2015-03-20	2015-04-08
25597	90395	2015-06-08	2015-07-22
25598	89881	2015-06-08	2017-05-22
25598	90150	2015-03-20	2015-04-08
25599	89464	2017-05-22	2018-05-08
25599	90138	2015-06-08	2016-03-22
25599	90398	2015-06-08	2016-03-22
25600	90139	2015-06-08	2017-05-07
25600	90151	2015-03-20	2015-04-08
25601	89267	2018-08-22	2018-10-22
25601	89745	2018-08-22	2018-10-22
25601	89747	2017-06-23	2018-07-22
25601	89749	2018-08-07	2018-08-07
25601	89997	2016-08-29	2017-05-07
25601	90146	2015-06-08	2016-08-07
